ID,Label,Interval,Phylum,Class,Order,Family,Genus,Modularity Class,Eccentricity,Closeness Centrality,Harmonic Closeness Centrality,Betweenness Centrality,Degree,Weighted Degree
bact_ASV_59,Planococcaceae,,Firmicutes,Bacilli,Bacillales,Planococcaceae,Domibacillus,0,3,0.7065217391,0.7974358974,232.9166667,39,12.84402486
bact_ASV_131,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,5,4,0.5855855856,0.7192307692,64,33,11.62015999
bact_ASV_70,Xanthobacteraceae,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,2,1,1,1,0,2,0.9578582883
bact_ASV_91,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,0,4,0.4577464789,0.5064102564,23.32631579,7,2.335164678
bact_ASV_124,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,1,1,1,1,0,1,0.3276560782
bact_ASV_143,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,0,4,0.4676258993,0.5294871795,3.126315789,10,3.354352515
bact_ASV_150,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,0,4,0.4513888889,0.4961538462,0,6,2.055776383
bact_ASV_140,Sulfobacillaceae,,Firmicutes,Sulfobacillia,Sulfobacillales,Sulfobacillaceae,Sulfobacillus,0,4,0.4710144928,0.5423076923,7,12,4.160751435
bact_ASV_148,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,0,4,0.4545454545,0.4987179487,0.3429824561,6,1.842451182
fun_ASV_22,Pyronemataceae,,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Cheilymenia,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_5,Trimorphomycetaceae,,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,5,4,0.5752212389,0.708974359,0,32,10.96380662
fun_ASV_24,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_2,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,6,1,1,1,0,3,1.084299788
fun_ASV_38,,,NA,NA,NA,NA,NA,3,1,1,1,0,2,0.9815054626
fun_ASV_15,Microascaceae,,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scedosporium,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_32,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_12,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,5,4,0.5752212389,0.708974359,0,32,16.69737598
fun_ASV_64,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_17,Coniochaetaceae,,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,5,4,0.5752212389,0.708974359,0,32,20.50800643
fun_ASV_82,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,4,1,1,1,0,1,0.6151817893
fun_ASV_56,Omphalotaceae,,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Rhodocollybia,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_51,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_60,Ophiocordycipitaceae,,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_112,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_55,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_43,,,NA,NA,NA,NA,NA,5,4,0.5752212389,0.708974359,0,32,12.63201576
fun_ASV_66,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_111,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_50,Microascaceae,,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scedosporium,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_92,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_109,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_135,Sporocadaceae,,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Pseudopestalotiopsis,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_81,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_44,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,3,1,1,1,0,2,0.9812795757
fun_ASV_115,Trichomonascaceae,,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Blastobotrys,4,1,1,1,0,1,0.6151817893
fun_ASV_138,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_169,Ophiocordycipitaceae,,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_167,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_72,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_141,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_129,Sporocadaceae,,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Pestalotiopsis,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_118,Physalacriaceae,,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_130,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_128,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_165,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_152,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_156,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_122,,,NA,NA,NA,NA,NA,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_153,Polyporaceae,,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Ganoderma,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_139,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,5,4,0.5752212389,0.708974359,0,32,11.29028937
fun_ASV_181,,,,,,,,5,3,0.8125,0.8897435897,13.86192185,51,37.54392294
fun_ASV_23,Saccotheciaceae,,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,3,1,1,1,0,2,0.7721543526
bact_ASV_82,Xanthobacteraceae,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,6,1,1,1,0,3,1.080137998
fun_ASV_9,,,NA,NA,NA,NA,NA,6,1,1,1,0,3,1.11596337
fun_ASV_91,Ophiocordycipitaceae,,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,7,1,1,1,0,1,0.7387615113
fun_ASV_142,,,NA,NA,NA,NA,NA,5,4,0.5752212389,0.708974359,0,32,9.62620521
fun_ASV_199,,,,,,,,7,1,1,1,0,1,0.7387615113
bact_ASV_102,Solibacteraceae,,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter,8,1,1,1,0,3,2.09968964
bact_ASV_96,,,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,8,1,1,1,0,3,2.09968964
bact_ASV_141,,,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,8,1,1,1,0,3,2.09968964
fun_ASV_8,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,8,1,1,1,0,3,1.709368146
fun_ASV_13,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,6,1,1,1,0,3,0.9930034419
bact_ASV_88,Xanthobacteraceae,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,2,1,1,1,0,2,0.8740970757
