ID,Label,Interval,Phylum,Class,Order,Family,Genus,Modularity Class,Eccentricity,Closeness Centrality,Harmonic Closeness Centrality,Betweenness Centrality,Degree,Weighted Degree
fun_ASV_10,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,3,2,0.7142857143,0.8,0,3,1.068674863
fun_ASV_5,Trimorphomycetaceae,,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,6,1,1,1,0,1,0.8434265521
fun_ASV_38,,,NA,NA,NA,NA,NA,9,1,1,1,0,24,23.37823196
fun_ASV_25,Tetragoniomycetaceae,,Basidiomycota,Tremellomycetes,Trichosporonales,Tetragoniomycetaceae,Cryptotrichosporon,9,1,1,1,0,24,23.37823196
fun_ASV_27,,,NA,NA,NA,NA,NA,9,1,1,1,0,24,23.37823196
fun_ASV_14,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Rasamsonia,6,1,1,1,0,1,0.8434265521
fun_ASV_12,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,9,1,1,1,0,24,23.37823196
fun_ASV_9,,,NA,NA,NA,NA,NA,7,1,1,1,0.3333333333,4,2.064961075
fun_ASV_34,Hypocreaceae,,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,8,1,1,1,0,2,0.7977094655
fun_ASV_7,,,NA,NA,NA,NA,NA,9,1,1,1,0,24,23.37823196
fun_ASV_35,Podosporaceae,,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,Podospora,9,1,1,1,0,24,23.37823196
fun_ASV_39,Hypocreaceae,,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,11,1,1,1,0,1,0.3219933353
fun_ASV_19,,,NA,NA,NA,NA,NA,9,1,1,1,0,24,23.37823196
fun_ASV_8,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,9,1,1,1,0,24,23.37823196
fun_ASV_56,Omphalotaceae,,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Rhodocollybia,10,1,1,1,0,1,0.3376438261
fun_ASV_33,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,9,1,1,1,0,24,23.37823196
fun_ASV_42,Hypocreaceae,,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,11,1,1,1,0,1,0.3219933353
fun_ASV_52,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Rasamsonia,9,1,1,1,0,24,23.37823196
fun_ASV_29,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,9,1,1,1,0,24,23.37823196
fun_ASV_89,,,NA,NA,NA,NA,NA,9,1,1,1,0,24,23.37823196
fun_ASV_88,,,NA,NA,NA,NA,NA,9,1,1,1,0,24,23.37823196
fun_ASV_65,,,NA,NA,NA,NA,NA,9,1,1,1,0,24,23.37823196
fun_ASV_70,,,NA,NA,NA,NA,NA,9,1,1,1,0,24,23.37823196
fun_ASV_108,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,9,1,1,1,0,24,23.37823196
fun_ASV_127,,,NA,NA,NA,NA,NA,9,1,1,1,0,24,23.37823196
fun_ASV_116,,,NA,NA,NA,NA,NA,9,1,1,1,0,24,23.37823196
fun_ASV_117,Sporocadaceae,,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Neopestalotiopsis,9,1,1,1,0,24,23.37823196
fun_ASV_170,Sporocadaceae,,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Pestalotiopsis,9,1,1,1,0,24,23.37823196
fun_ASV_104,Hypocreaceae,,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,7,2,0.8,0.875,0,3,0.9190738753
fun_ASV_69,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,9,1,1,1,0,24,23.37823196
fun_ASV_107,Cladosporiaceae,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,10,1,1,1,0,1,0.3376438261
fun_ASV_123,,,NA,NA,NA,NA,NA,9,1,1,1,0,24,23.37823196
fun_ASV_142,,,NA,NA,NA,NA,NA,9,1,1,1,0,24,23.37823196
fun_ASV_118,,,,,,,,4,1,1,1,0,1,0.7491837485
fun_ASV_139,,,,,,,,9,1,1,1,0,24,23.37823196
