ID,Label,Interval,Phylum,Class,Order,Family,Genus,Modularity Class,Eccentricity,Closeness Centrality,Harmonic Closeness Centrality,Betweenness Centrality,Degree,Weighted Degree
bact_ASV_82,Xanthobacteraceae,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,4,2,0.7777777778,0.8571428571,0,5,2.576365065
bact_ASV_102,Solibacteraceae,,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter,4,1,1,1,0.95,7,4.585333243
bact_ASV_75,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,0,2,0.5714285714,0.625,0,1,0.3241569989
bact_ASV_114,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,2,2,0.7236842105,0.8090909091,0,34,13.72160961
bact_ASV_91,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,2,2,0.7236842105,0.8090909091,0,34,11.74095158
bact_ASV_124,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,1,2,0.625,0.7,0,2,0.6529003113
bact_ASV_88,Xanthobacteraceae,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,4,1,1,1,0.95,7,4.585333243
bact_ASV_143,Alicyclobacillaceae,,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,2,2,0.7236842105,0.8090909091,0,34,10.82624754
bact_ASV_140,Sulfobacillaceae,,Firmicutes,Sulfobacillia,Sulfobacillales,Sulfobacillaceae,Sulfobacillus,2,2,0.7236842105,0.8090909091,0,34,16.37174964
fun_ASV_1,,,NA,NA,NA,NA,NA,3,1,1,1,0,4,1.639608952
fun_ASV_22,Pyronemataceae,,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Cheilymenia,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_24,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_15,Microascaceae,,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scedosporium,3,1,1,1,0,4,1.892666584
fun_ASV_30,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,2,2,0.7236842105,0.8090909091,0,34,15.55471475
fun_ASV_12,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,2,2,0.7236842105,0.8090909091,0,34,27.339918
fun_ASV_34,Hypocreaceae,,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_13,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,4,2,0.875,0.9285714286,0.2,6,3.239607336
fun_ASV_64,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_17,Coniochaetaceae,,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,2,2,0.7236842105,0.8090909091,0,34,27.03907939
fun_ASV_31,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_82,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_51,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_60,Ophiocordycipitaceae,,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_112,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_55,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_66,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_52,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Rasamsonia,2,2,0.7236842105,0.8090909091,0,34,14.04100075
fun_ASV_91,Ophiocordycipitaceae,,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_92,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_65,,,NA,NA,NA,NA,NA,2,2,0.7236842105,0.8090909091,0,34,10.31000485
fun_ASV_109,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_135,Sporocadaceae,,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Pseudopestalotiopsis,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_83,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_54,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,3,1,1,1,0,4,1.74155536
fun_ASV_81,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_70,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_113,Physalacriaceae,,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Strobilurus,4,2,0.7777777778,0.8571428571,0,5,2.989631331
fun_ASV_115,Trichomonascaceae,,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Blastobotrys,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_138,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_169,Ophiocordycipitaceae,,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_176,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_167,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_72,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_141,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_129,Sporocadaceae,,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Pestalotiopsis,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_118,Physalacriaceae,,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,4,1,1,1,0.95,7,4.584953442
fun_ASV_130,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_128,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_165,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_152,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_156,,,NA,NA,NA,NA,NA,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_122,,,,,,,,3,1,1,1,0,4,1.889468903
fun_ASV_139,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,2,2,0.7236842105,0.8090909091,0,34,20.05551798
fun_ASV_157,Agaricaceae,,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lycoperdon,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_181,Pseudodactylariaceae,,Ascomycota,Sordariomycetes,Pseudodactylariales,Pseudodactylariaceae,Pseudodactylaria,2,1,1,1,6.764705882,55,41.60203589
fun_ASV_199,,,,,,,,2,1,1,1,6.764705882,55,41.60203589
bact_ASV_68,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,2,2,0.7236842105,0.8090909091,0,34,14.37776215
bact_ASV_69,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,2,2,0.7236842105,0.8090909091,0,34,17.49857022
bact_ASV_86,Acidothermaceae,,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,5,1,1,1,0,2,1.058669454
bact_ASV_107,Sporomusaceae,,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,NA,7,1,1,1,0,1,0.6600612504
bact_ASV_98,Paenibacillaceae,,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,2,2,0.7236842105,0.8090909091,0,34,17.60153728
bact_ASV_177,Isosphaeraceae,,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Aquisphaera,5,1,1,1,0,2,1.058669454
fun_ASV_28,Sporidiobolaceae,,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,10,1,1,1,0,1,0.6837038053
fun_ASV_38,,,NA,NA,NA,NA,NA,8,1,1,1,0,1,0.5307694327
fun_ASV_23,Saccotheciaceae,,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,6,1,1,1,0,3,2.792869023
fun_ASV_48,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,2,2,0.7333333333,0.8181818182,0,35,12.00742208
fun_ASV_111,,,NA,NA,NA,NA,NA,6,1,1,1,0,3,2.792601062
fun_ASV_42,Hypocreaceae,,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,6,1,1,1,0,3,2.792492711
fun_ASV_89,,,NA,NA,NA,NA,NA,7,1,1,1,0,1,0.6600612504
fun_ASV_44,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,8,1,1,1,0,1,0.5307694327
fun_ASV_103,,,NA,NA,NA,NA,NA,6,1,1,1,0,3,2.792539423
fun_ASV_117,Sporocadaceae,,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Neopestalotiopsis,2,2,0.7236842105,0.8090909091,0,34,11.12706458
fun_ASV_126,Pyrenochaetopsidaceae,,Ascomycota,Dothideomycetes,Pleosporales,Pyrenochaetopsidaceae,Pyrenochaetopsis,2,2,0.7236842105,0.8090909091,0,34,17.12624818
bact_ASV_32,Acidothermaceae,,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,9,1,1,1,0,1,0.7905319376
bact_ASV_122,Rhodomicrobiaceae,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium,5,1,1,1,0,2,0.828532705
fun_ASV_153,,,,,,,,9,1,1,1,0,1,0.7905319376
arc_ASV_3,Nitrososphaeraceae,,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,10,1,1,1,0,1,0.6837038053
fun_ASV_26,Hypocreaceae,,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,12,1,1,1,0,1,0.408505555
fun_ASV_3,Aspergillaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,2,2,0.7333333333,0.8181818182,0,35,15.7628836
fun_ASV_114,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,2,2,0.7236842105,0.8090909091,0,34,13.88845209
fun_ASV_5,Trimorphomycetaceae,,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,2,2,0.7236842105,0.8090909091,0,34,17.72077646
fun_ASV_61,Trichocomaceae,,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,2,2,0.7236842105,0.8090909091,0,34,21.89656345
fun_ASV_107,Cladosporiaceae,,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,4,2,0.7,0.7857142857,0,4,1.331258797
arc_ASV_4,Methanomassiliicoccaceae,,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,NA,11,1,1,1,0,1,0.6487493747
bact_ASV_52,Acidothermaceae,,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,11,1,1,1,0,1,0.6487493747
fun_ASV_179,,,,,,,,12,1,1,1,0,1,0.408505555
